<><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><>
Date: 01/01/20 Time: 22:32 Location: Raffles Hotel
64 bytes from 8.8.8.8: icmp_seq=266 ttl=55 time=19.613 ms
64 bytes from 8.8.8.8: icmp_seq=267 ttl=55 time=18.784 ms
64 bytes from 8.8.8.8: icmp_seq=268 ttl=55 time=44.534 ms
64 bytes from 8.8.8.8: icmp_seq=269 ttl=55 time=17.859 ms
64 bytes from 8.8.8.8: icmp_seq=270 ttl=55 time=18.723 ms
64 bytes from 8.8.8.8: icmp_seq=271 ttl=55 time=40.919 ms
64 bytes from 8.8.8.8: icmp_seq=272 ttl=55 time=18.516 ms
64 bytes from 8.8.8.8: icmp_seq=273 ttl=55 time=22.519 ms
64 bytes from 8.8.8.8: icmp_seq=274 ttl=55 time=25.821 ms
64 bytes from 8.8.8.8: icmp_seq=275 ttl=55 time=17.712 ms
64 bytes from 8.8.8.8: icmp_seq=276 ttl=55 time=17.796 ms
64 bytes from 8.8.8.8: icmp_seq=277 ttl=55 time=25.049 ms
64 bytes from 8.8.8.8: icmp_seq=278 ttl=55 time=20.179 ms
64 bytes from 8.8.8.8: icmp_seq=279 ttl=55 time=26.855 ms
64 bytes from 8.8.8.8: icmp_seq=280 ttl=55 time=18.549 ms
64 bytes from 8.8.8.8: icmp_seq=281 ttl=55 time=17.799 ms
64 bytes from 8.8.8.8: icmp_seq=282 ttl=55 time=17.813 ms
64 bytes from 8.8.8.8: icmp_seq=283 ttl=55 time=21.965 ms
64 bytes from 8.8.8.8: icmp_seq=284 ttl=55 time=20.341 ms
64 bytes from 8.8.8.8: icmp_seq=285 ttl=55 time=19.370 ms
64 bytes from 8.8.8.8: icmp_seq=286 ttl=55 time=21.657 ms
64 bytes from 8.8.8.8: icmp_seq=287 ttl=55 time=17.877 ms
64 bytes from 8.8.8.8: icmp_seq=288 ttl=55 time=19.713 ms
64 bytes from 8.8.8.8: icmp_seq=289 ttl=55 time=17.547 ms
64 bytes from 8.8.8.8: icmp_seq=290 ttl=55 time=17.642 ms
64 bytes from 8.8.8.8: icmp_seq=291 ttl=55 time=27.456 ms
64 bytes from 8.8.8.8: icmp_seq=292 ttl=55 time=16.816 ms
64 bytes from 8.8.8.8: icmp_seq=293 ttl=55 time=39.985 ms
64 bytes from 8.8.8.8: icmp_seq=294 ttl=55 time=18.595 ms
64 bytes from 8.8.8.8: icmp_seq=295 ttl=55 time=17.785 ms
